MethoMESH:D_Class	MeSH MESH:Descriptor
	MESH:D055770
	MESH:D009458
	MESH:D000758
	MESH:D000765
	MESH:D000767
	MESH:D000763
	MESH:D000772
	MESH:D000775
	MESH:D009407
	MESH:D001340
	MESH:D059387
	MESH:D065527
	MESH:D066008
	MESH:D000766
	MESH:D006992
	MESH:D000768
	MESH:D000769
	MESH:D000764
	MESH:D000770
	MESH:D000774
	MESH:D058126
	MESH:D000771
	MESH:D000773
	MESH:D000074022
	MESH:D050785
	MESH:D006991
	MESH:D000762
	MESH:D016292
	MESH:D054810
	MESH:D004580
	MESH:D007023
	MESH:D019148
	MESH:D011229
	MESH:D013514
	MESH:D055011
	MESH:D003452
	MESH:D055356
	MESH:D000079042
	MESH:D000556
	MESH:D000714
	MESH:D000713
	MESH:D001166
	MESH:D066254
	MESH:D058366
	MESH:D002557
	MESH:D017287
	MESH:D014696
	MESH:D002767
	MESH:D002768
	MESH:D004713
	MESH:D005763
	MESH:D018610
	MESH:D018729
	MESH:D010193
	MESH:D010491
	MESH:D010536
	MESH:D011170
	MESH:D011167
	MESH:D019168
	MESH:D013164
